citation_id,title,authors,year,venue,publication_status,authoritative_url,doi_or_anthology_id,evidence_location,verified_claims,relevance,verification_status,verified_by,verified_at
canal2024kg,"Educational Material to Knowledge Graph Conversion: A Methodology to Enhance Digital Education","Miquel Canal-Esteve; Yoan Gutiérrez",2024,KaLLM 2024 Workshop,published,https://aclanthology.org/2024.kallm-1.9/,10.18653/v1/2024.kallm-1.9,"abstract; pp.85-91","studies KG structuring of educational content and LLM integration","KG supplemental",verified,P1,2026-08-26
imperial2024standardize,"Standardize: Aligning Language Models with Expert-Defined Standards for Content Generation","Joseph Marvin Imperial; Gail Forey; Harish Tayyar Madabushi",2024,EMNLP 2024,published,https://aclanthology.org/2024.emnlp-main.94/,10.18653/v1/2024.emnlp-main.94,"abstract; framework and experiments","uses CEFR/CCS knowledge artifacts to control educational content generation","RQ1/KG/level-control competitor",verified,P1,2026-08-26
rebedea2023nemo,"NeMo Guardrails: A Toolkit for Controllable and Safe LLM Applications with Programmable Rails","Traian Rebedea et al.",2023,"EMNLP 2023 System Demonstrations",published,https://aclanthology.org/2023.emnlp-demo.40/,10.18653/v1/2023.emnlp-demo.40,"abstract; toolkit architecture","runtime programmable rails can control LLM application behavior","RQ3 guardrail prior",verified,P1,2026-08-26
raihan2026codeguard,"CodeGuard: Improving LLM Guardrails in CS Education","Nishat Raihan et al.",2026,"Findings of EACL 2026",published,https://aclanthology.org/2026.findings-eacl.48/,10.18653/v1/2026.findings-eacl.48,"abstract; pp.937-949; experiments","evaluates educational guardrails with F1 and legitimate-task preservation","RQ3 direct neighbor",verified,P1,2026-08-26
havaldar2025culture,"Culturally-Aware Conversations: A Framework & Benchmark for LLMs","Shreya Havaldar et al.",2025,"HCI+NLP Workshop at EMNLP 2025",published_workshop,https://aclanthology.org/2025.hcinlp-1.18/,10.18653/v1/2025.hcinlp-1.18,"abstract; pp.220-229","evaluates cultural adaptation in realistic multicultural conversations with diverse raters","RQ2 evaluation neighbor",verified,P1,2026-08-26
tran2026equalbudget,"Single-Agent LLMs Outperform Multi-Agent Systems on Multi-Hop Reasoning Under Equal Thinking Token Budgets","Dat Tran; Douwe Kiela",2026,arXiv,preprint,https://arxiv.org/abs/2604.02460,arXiv:2604.02460v2,"abstract; PDF pp.1 and 4; matched-budget setup and results","compares five MAS variants with SAS across three model families under a shared global thinking-token budget","RQ1 direct methodological competitor; non-education",verified,P1,2026-08-26
liu2025clca,"Cultural Learning-Based Culture Adaptation of Language Models","Chen Cecilia Liu; Anna Korhonen; Iryna Gurevych",2025,"ACL 2025",published,https://aclanthology.org/2025.acl-long.156/,10.18653/v1/2025.acl-long.156,"PDF p.1; Table 4 p.7; Table 10 p.16","tests dialogue-only intent-only and combined cultural-learning components and filtered versus unfiltered data","RQ2 direct component-ablation neighbor; not instructional generation",verified,P1,2026-08-26
xu2025clte,"Can Large Language Models Be Good Language Teachers?","LiQing Xu; Qiwei Li; Tianshuo Peng; Zuchao Li; Hai Zhao; Ping Wang",2025,"EMNLP 2025",published,https://aclanthology.org/2025.emnlp-main.1222/,10.18653/v1/2025.emnlp-main.1222,"abstract; PDF pp.2-3 teaching-practice setup; p.12 generation templates","evaluates 13 LLMs for Chinese-as-a-second-language teaching including knowledge-point summaries and instructional-content design","Chinese L2 generation direct competitor; no native-culture or MAS ablation",verified,P1,2026-08-26
liffiton2023codehelp,"CodeHelp: Using Large Language Models with Guardrails for Scalable Support in Programming Classes","Mark H. Liffiton; Brad E. Sheese; Jaromir Savelka; Paul Denny",2023,"Koli Calling 2023",published,https://doi.org/10.1145/3631802.3631830,10.1145/3631802.3631830,"author manuscript pp.1-4 Sections 1 and 3.2; pp.7-8 Section 5 and Table 1; DBLP record 8:1-8:11; institutional publisher record dated 2023-11-13","deploys an educational LLM assistant with multi-prompt guardrails intended to avoid revealing complete solutions","RQ3 descriptive background only; not output-quality cache admission",verified,P1,2026-08-26
chen2024spiral,"Spiral of Silence: How is Large Language Model Killing Information Retrieval? -- A Case Study on Open Domain Question Answering","Xiaoyang Chen; Ben He; Hongyu Lin; Xianpei Han; Tianshu Wang; Boxi Cao; Le Sun; Yingfei Sun",2024,arXiv,preprint,https://arxiv.org/abs/2404.10496,arXiv:2404.10496,"abstract; PDF feedback-loop setup and discussion","simulates LLM-derived content entering a retrieval-generation feedback loop and analyzes reinforcement risks","RQ3 cache-contamination conceptual neighbor; non-education and not a cache gate",verified,P1,2026-08-26
cui2023adaptive,"Adaptive and Personalized Exercise Generation for Online Language Learning","Peng Cui; Mrinmaya Sachan",2023,"ACL 2023",published,https://aclanthology.org/2023.acl-long.567/,10.18653/v1/2023.acl-long.567,"ACL Anthology abstract; pp.10184-10198 method and evaluation","combines knowledge tracing with controlled generation of personalized language exercises","language-learning generation competitor; not Chinese-specific or cross-cultural",verified,P1,2026-08-26
