claim_id,citation_key,body_usable_claim,evidence_location,allowed_strength,forbidden_extension,rq_or_section,verification_status
RW11,singh2024culture,"Intralingual cultural adaptation has been defined as an LLM task with an evaluation framework.","CoNLL 2024, abstract and task definition, pp.400-418",descriptive,"Do not claim native-culture-aware generation is absent from prior NLP.",RQ2/Cultural adaptation,verified
RW12,singh2024culture,"Automatic cultural adaptation can introduce issues requiring explicit evaluation.","CoNLL 2024, abstract and analysis sections, pp.400-418",descriptive,"Does not validate the present system's cultural accuracy.",RQ2/Evaluation,verified
RW13,havaldar2025culture,"Culturally-aware conversational evaluation has been grounded in situational, relational, and cultural context and annotated by culturally diverse raters.","HCI+NLP 2025, abstract and framework/data sections, pp.220-229",descriptive,"Do not call the present evaluation the first cross-cultural LLM benchmark.",RQ2/Evaluation,verified
RW14,havaldar2025culture,"Evaluated LLMs struggled with cultural adaptation in the paper's multicultural conversational benchmark.","HCI+NLP 2025, abstract and results, pp.220-229",bounded_result,"Do not universalize beyond its models, benchmark, or conversational task.",RQ2/Motivation,verified
RW15,liu2025intercultural,"Liu's introduction identifies controllability, inference latency, and fine-grained cultural distinction as limitations of LLMs in cross-cultural language learning.","Nature publisher HTML lines 86-90; article Introduction",secondary_background,"These are background assertions, not findings from the paper's own LLM experiment.",RQ2/Motivation,verified
RW16,liu2025intercultural,"Liu evaluates an AI-enhanced language-learning system with 262 learners over three months.","Nature publisher HTML lines 38-43; Methodology and Table 1",author_reported,"Do not describe the system as the present work's LLM architecture or use it as direct evidence for A3.",Background,verified
RW17,edge2024graphrag,"Graph RAG constructs a graph-based index and community summaries for global query-focused summarization.","arXiv:2404.16130, abstract and method description",descriptive,"Do not imply that the present system implements this pipeline.",KG supplemental,verified
RW18,peng2024graphrag,"A GraphRAG survey organizes the workflow into graph-based indexing, graph-guided retrieval, and graph-enhanced generation.","arXiv:2408.08921v2, abstract and workflow taxonomy",descriptive,"Do not use a survey taxonomy as evidence of the present system's effectiveness.",KG supplemental,verified
RW19,canal2024kg,"Educational content can be represented as knowledge graphs and integrated with LLMs for explanations, answers, and recommendations.","KaLLM 2024, abstract and pp.85-91",methodological,"Do not claim educational KG+LLM integration is novel to this paper.",KG supplemental,verified
RW20,imperial2024standardize,"Standardize uses knowledge artifacts extracted from CEFR and Common Core standards to guide educational content generation.","EMNLP 2024, abstract and framework section",descriptive,"Do not claim structured standards guarantee factuality or eliminate hallucination.",RQ1/KG/level control,verified
RW21,imperial2024standardize,"The paper reports improved precise accuracy for standard-aligned generation in its evaluated settings.","EMNLP 2024, abstract and experiments",bounded_result,"Do not transfer the reported percentage to HSK alignment or the present system.",KG/level control,verified
RW22,chen2024judge,"Human and LLM judges are vulnerable to multiple judgment biases.","EMNLP 2024 PDF Section 2.2 pp.8302-8303; Section 3; Tables 1-3 pp.8304-8308",bounded_result,"Do not claim human evaluation is bias-free or that one independent Judge is ground truth.",Pilot evaluation protocol,verified
RW23,chen2024judge,"LLM-as-a-judge evaluation requires validation and robustness checks rather than uncritical use as an independent oracle.","EMNLP 2024 PDF Section 2.2 pp.8302-8303; Sections 4-5; conclusion",methodological_implication,"Do not attribute a bias subtype not evaluated by the cited experiment.",Pilot evaluation protocol,verified
RW24,rebedea2023nemo,"Programmable runtime rails can constrain topics, dialogue paths, and language style in LLM applications.","EMNLP 2023 System Demonstrations, abstract and toolkit architecture",descriptive,"Do not claim staged guardrails or runtime filtering are novel.",RQ3/Related Work,verified
RW25,raihan2026codeguard,"CodeGuard is a formally published CS-education guardrail framework with an 8,000-prompt taxonomy dataset and PromptShield classifier.","Findings of EACL 2026 PDF p.937, abstract lines 9-41; Sections 3-6",descriptive,"Do not equate prompt safety classification with output instructional-content quality.",RQ3/Direct neighbor,verified
RW26,raihan2026codeguard,"CodeGuard reports 0.93 F1 and reduced harmful completions without degrading legitimate educational-task performance in its setting.","Findings of EACL 2026 PDF p.937 lines 32-40; experiment sections",bounded_result,"Do not transfer its figures to this system or claim it measures cache pollution.",RQ3/Evaluation design,verified
RW27,raihan2026codeguard,"Education guardrail evaluation can jointly measure risk reduction and preservation of legitimate task performance.","Findings of EACL 2026 abstract and experiments, pp.937-949",methodological_implication,"Does not establish the present gate's false-positive or false-negative rates.",RQ3/Evaluation design,verified
RW28,tran2026equalbudget,"A non-education preprint compares SAS with five MAS variants under a shared global thinking-token budget across three model families.","arXiv:2604.02460v2 (preprint under review), PDF Section 4.3 pp.5-6 and Figure 1",descriptive,"Do not transfer its multi-hop reasoning result to educational generation; its budget excludes prompts and final answers.",RQ1/Pilot fairness motivation,verified
RW29,tran2026equalbudget,"The preprint reports SAS matching or outperforming MAS on its multi-hop tasks under its thinking-token control and identifies API budget-control artifacts.","arXiv:2604.02460v2, abstract; PDF Section 5.1 pp.6-7 and Table 1",bounded_result,"Does not prove the present monolith will outperform or that input-plus-output token matching is equivalent.",RQ1/Pilot fairness motivation,verified
RW30,liu2025clca,"CLCA separately evaluates dialogue-only intent-only and combined cultural-learning components.","ACL 2025 PDF Table 4 p.7",descriptive,"This is cultural-value alignment not native-culture-aware instructional generation.",RQ2/Component ablation,verified
RW31,liu2025clca,"CLCA also compares filtered and unfiltered cultural-interaction data.","ACL 2025 PDF Table 10 p.16",descriptive,"Do not infer that the present A3 or filtering gate has the same effect.",RQ2/Component ablation,verified
RW32,xu2025clte,"CLTE evaluates Chinese-as-a-second-language teaching competence including knowledge-point summaries and instructional-content design for simulated students.","EMNLP 2025 abstract; PDF Section 3 teaching-practice setup; Appendix A Figure 6 p.23968",descriptive,"Do not claim Chinese L2 automatic instructional-content generation is absent from prior work.",Short-paper task context,verified
RW33,xu2025clte,"CLTE evaluates 13 multilingual and Chinese LLMs across knowledge examination and teaching-practice dimensions.","EMNLP 2025 abstract; PDF dataset/evaluation section",bounded_result,"It does not compare MAS with a budget-matched monolith or test native-culture conditioning.",CSL generation,verified
RW34,liffiton2023codehelp,"CodeHelp deploys an LLM assistant with multi-prompt guardrails intended to avoid directly revealing programming solutions.","Author manuscript Sections 1 and 3.2, pp.1-4; Figure 4 p.5; deployment Section 5 pp.7-8",descriptive,"Do not equate solution-withholding guardrails with output-quality cache admission.",RQ3 descriptive background,verified
RW35,chen2024spiral,"An open-domain simulation studies LLM-generated content entering a retrieval-generation feedback loop and warns that erroneous generated content can be reinforced.","arXiv:2404.10496 abstract; PDF feedback-loop setup and discussion",bounded_result,"This is not an education cache experiment and does not validate the present gate.",RQ3/Cache-risk motivation,verified
RW36,cui2023adaptive,"Controlled language-exercise generation has combined learner knowledge states with instructor constraints on domain and difficulty.","ACL 2023 abstract; pp.10184-10198 method section",descriptive,"The study is not Chinese-specific cross-cultural generation and does not validate BKT in the present system.",Language-learning generation,verified
